Unif	Player	Th	Age	Pos	HiLvl	W	L	ERA	G	GS	GR	CG	SHO	GF	SV	IP	H	R	ER	HR	BB	SO	WP	BK	HB	WHIP	H9	HR9	BB9	SO9	K-BB	RA9	WPct	Draft	Status	Current Org (Level)
21	Jared Horn	R	18	ST	NCAA	3	5	4.64	16	15	1	0	0	0	0	77.2	81	56	40	7	49	55	15	3	0	1.68	9.39	0.81	5.68	6.37	1.12	6.49	0.375	2016-20- 591-MIL		 
16	Joey Matulovich	R	19	S/R	RK	4	3	4.76	17	12	5	1	0	0	0	73.2	77	44	39	8	18	45	5	0	0	1.3	9.41	0.98	2.2	5.5	2.5	5.38	0.571	2018-20- 605-MIL	Minors	Milwaukee Brewers (Rk)
23	Tanner Dodson	R	20	S/R	A-	2	6	5.37	19	7	12	0	0	0	2	52	75	44	31	1	25	48	6	2	0	1.92	12.98	0.17	4.33	8.31	1.92	7.62	0.25	2018- 2-  71-TBA	Minors	Tampa Bay Rays (A-)
24	Matt Ladrech	L	21	ST	RK	2	2	4.53	12	11	1	0	0	0	0	51.2	53	30	26	2	19	19	3	0	0	1.41	9.23	0.35	3.31	3.31	1	5.23	0.5	 	Minors	Arizona Diamondbacks (Rk)
33	Erik Martinez	R	21	Rel	NCAA	5	4	3.11	24	0	24	0	0	0	6	37.2	28	18	13	2	28	39	2	0	0	1.51	6.69	0.48	6.69	9.32	1.39	4.3	0.556	 		 
44	Zayne Patino	L	21	Rel	NCAA	1	1	5.9	20	0	20	0	0	0	0	29	25	19	19	3	20	31	4	0	0	1.55	7.76	0.93	6.21	9.62	1.55	5.9	0.5	 		 
27	Rogelio Reyes		19	S/R	NCAA	2	5	8.13	12	6	6	0	0	0	0	27.2	30	25	25	3	24	20	7	0	0	1.99	9.76	0.98	7.81	6.51	0.83	8.13	0.286	 		 
32	Andrew Buckley	R	22	Rel	NCAA	3	0	3.91	25	0	25	0	0	0	0	25.1	12	12	11	1	22	14	4	0	0	1.35	4.26	0.36	7.82	4.97	0.64	4.26	1	 		 
35	Aaron Shortridge	R	20	Rel	A-	1	0	1.99	14	1	13	0	0	0	0	22.2	19	9	5	0	8	16	2	1	0	1.22	7.54	0	3.18	6.35	2	3.57	1	2018- 4- 114-PIT	Minors	Pittsburgh Pirates (A-)
40	Arman Sabouri	L	19	Rel	NCAA	1	3	7.54	19	1	18	0	0	0	0	22.2	28	26	19	0	13	20	5	0	0	1.85	11.12	0	5.16	7.94	1.54	10.32	0.25	 		 
39	Ian Lutz	R	22	Rel	NCAA	0	0	3.18	15	0	15	0	0	0	1	17	14	8	6	3	8	6	5	0	0	1.29	7.41	1.59	4.24	3.18	0.75	4.24	0	 		 
31	Jack Cosca	R	19	Rel	NCAA	0	0	7.3	13	0	13	0	0	0	0	12.1	12	11	10	2	9	8	0	1	0	1.74	8.76	1.46	6.57	5.84	0.89	8.03	0	 		 
29	Jack Wolger	L	19	Rel	NCAA	0	0	5.25	7	1	6	0	0	0	0	12	19	15	7	2	6	2	1	0	0	2.08	14.25	1.5	4.5	1.5	0.33	11.25	0	 		 
20	Andrew Vaughn	R	19	Rel	NCAA	1	0	7.56	10	0	10	0	0	0	0	8.1	10	7	7	2	5	4	0	0	0	1.85	10.8	2.16	5.4	4.32	0.8	7.56	1	 		 
46	Akaash Agarwal	L	22	Rel	NCAA	0	0	16.87	4	0	4	0	0	0	0	2.2	5	5	5	0	5	1	2	1	0	4.55	16.87	0	16.87	3.37	0.2	16.87	0	 		 
34	Max Flower	R	19	Rel	NCAA	0	0	0	3	0	3	0	0	0	0	2	2	0	0	0	0	1	1	0	0	1	9	0	0	4.5	0	0	0	 		 
41	Connor Jackson	R	19	Rel	NCAA	0	0	54	1	0	1	0	0	0	0	0.2	3	4	4	1	1	0	0	0	0	20	40.5	13.5	13.5	0	0	54	0	 		 
45	Kevin Flemer	R	22	Rel	NCAA	0	0	135	1	0	1	0	0	0	0	0.1	4	5	5	1	1	0	3	0	0	50	108	27	27	0	0	135	0	 		 
25	Lorenzo Hampton	R	19	Rel	NCAA	0	0	null	1	0	1	0	0	0	0	0	1	3	3	0	1	0	1	0	0	--	--	--	--	--	0	null	0	 		 
